"Title","CPIH INDEX 00: ALL ITEMS 2015=100"
"CDID","L522"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","19-08-2020"
"Next release","16 September 2020"
"1988","48.2"
"1989","51.0"
"1990","55.1"
"1991","59.2"
"1992","61.9"
"1993","63.5"
"1994","64.9"
"1995","66.6"
"1996","68.5"
"1997","70.0"
"1998","71.3"
"1999","72.6"
"2000","73.4"
"2001","74.6"
"2002","75.7"
"2003","76.7"
"2004","77.8"
"2005","79.4"
"2006","81.4"
"2007","83.3"
"2008","86.2"
"2009","87.9"
"2010","90.1"
"2011","93.6"
"2012","96.0"
"2013","98.2"
"2014","99.6"
"2015","100.0"
"2016","101.0"
"2017","103.6"
"2018","106.0"
"2019","107.8"
